date,dkk_eur
09/11/2014,0.13442
10/11/2014,0.13441
19/11/2014,0.13432
24/11/2014,0.1344
16/12/2014,0.13435
02/01/2015,0.13431
05/01/2015,0.13436
16/02/2015,0.13432
20/02/2015,0.13394
23/02/2015,0.13408
02/03/2015,0.13421
10/03/2015,0.13419
16/03/2015,0.13397
24/03/2015,0.13399
30/03/2015,0.13387
08/04/2015,0.13379
13/04/2015,0.13382
14/04/2015,0.13388
15/04/2015,0.13389
16/04/2015,0.13396
22/04/2015,0.13398
23/04/2015,0.13402
27/04/2015,0.13401
28/04/2015,0.134
05/05/2015,0.13397
06/05/2015,0.1339
08/05/2015,0.13398
11/05/2015,0.13397
14/05/2015,0.13392
21/05/2015,0.13412
22/05/2015,0.13407
25/05/2015,0.13411
26/05/2015,0.13415
27/05/2015,0.13411
28/05/2015,0.13404
04/06/2015,0.13402
05/06/2015,0.13402
08/06/2015,0.13407
09/06/2015,0.13404
10/06/2015,0.13399
15/06/2015,0.13406
22/06/2015,0.13401
24/06/2015,0.13406
25/06/2015,0.13403
26/06/2015,0.13401
29/06/2015,0.13402
30/06/2015,0.13404
02/07/2015,0.13409
06/07/2015,0.13399
07/07/2015,0.13397
13/07/2015,0.13398
14/07/2015,0.13398
17/07/2015,0.13401
20/07/2015,0.13401
21/07/2015,0.13399
22/07/2015,0.13401
23/07/2015,0.13401
24/07/2015,0.13401
27/07/2015,0.134
30/07/2015,0.13402
04/08/2015,0.134
11/08/2015,0.13398
12/08/2015,0.13398
13/08/2015,0.13396
20/08/2015,0.13399
21/08/2015,0.13397
24/08/2015,0.13397
28/08/2015,0.13397
01/09/2015,0.13398
02/09/2015,0.13397
04/09/2015,0.13398
07/09/2015,0.134
11/09/2015,0.13404
17/09/2015,0.13403
21/09/2015,0.13402
22/09/2015,0.13404
24/09/2015,0.13402
25/09/2015,0.13402
28/09/2015,0.13402
30/09/2015,0.13402
01/10/2015,0.13404
05/10/2015,0.13401
06/10/2015,0.13401
07/10/2015,0.13402
08/10/2015,0.134
13/10/2015,0.134
26/10/2015,0.13403
28/10/2015,0.13404
29/10/2015,0.13408
02/11/2015,0.13406
04/11/2015,0.13405
05/11/2015,0.13404
13/11/2015,0.13402
17/11/2015,0.13401
18/11/2015,0.13404
20/11/2015,0.13402
23/11/2015,0.13402
26/11/2015,0.13402
27/11/2015,0.13402
30/11/2015,0.13403
02/12/2015,0.13404
03/12/2015,0.13403
07/12/2015,0.13402
09/12/2015,0.13401
14/12/2015,0.13401
16/12/2015,0.134
18/12/2015,0.13399
21/12/2015,0.134
23/12/2015,0.13397
24/12/2015,0.13397
28/12/2015,0.13398
29/12/2015,0.13397
07/01/2016,0.13402
11/01/2016,0.134
12/01/2016,0.134
18/01/2016,0.13396
19/01/2016,0.13399
20/01/2016,0.13396
21/01/2016,0.13399
25/01/2016,0.13399
27/01/2016,0.13398
28/01/2016,0.13397
03/02/2016,0.13397
08/02/2016,0.13396
22/02/2016,0.13398
24/02/2016,0.13398
26/02/2016,0.13402
01/03/2016,0.13406
09/03/2016,0.13403
21/03/2016,0.13415
22/03/2016,0.13414
29/03/2016,0.13414
30/03/2016,0.13414
31/03/2016,0.13419
01/04/2016,0.13419
04/04/2016,0.13437
05/04/2016,0.13432
06/04/2016,0.13433
07/04/2016,0.13437
21/04/2016,0.13436
26/04/2016,0.13435
28/04/2016,0.13434
29/04/2016,0.13432
04/05/2016,0.13438
06/05/2016,0.1344
09/05/2016,0.1344
11/05/2016,0.13437
12/05/2016,0.13437
13/05/2016,0.13441
16/05/2016,0.1344
18/05/2016,0.13444
19/05/2016,0.13444
20/05/2016,0.13444
23/05/2016,0.13445
30/06/2016,0.13443
08/07/2016,0.13437
11/07/2016,0.13443
12/07/2016,0.13441
19/07/2016,0.1344
20/07/2016,0.13441
21/07/2016,0.13439
25/07/2016,0.13439
01/08/2016,0.1344
02/08/2016,0.13442
10/08/2016,0.13441
16/08/2016,0.13434
17/08/2016,0.13436
18/08/2016,0.13436
23/08/2016,0.13434
24/08/2016,0.13431
31/08/2016,0.13434
02/09/2016,0.13438
05/09/2016,0.13439
12/09/2016,0.1343
22/09/2016,0.13412
26/09/2016,0.13419
04/10/2016,0.13435
21/10/2016,0.13441
24/10/2016,0.13442
26/10/2016,0.1344
14/11/2016,0.13432
17/11/2016,0.13437
23/11/2016,0.13439
30/11/2016,0.13438
05/12/2016,0.13441
09/12/2016,0.13444
12/12/2016,0.13445
15/12/2016,0.1345
16/12/2016,0.13447
19/12/2016,0.13449
27/12/2016,0.13448
28/12/2016,0.1345
29/12/2016,0.13448
10/01/2017,0.13449
12/01/2017,0.13446
13/01/2017,0.13446
17/01/2017,0.13448
18/01/2017,0.13447
19/01/2017,0.13446
27/01/2017,0.13443
30/01/2017,0.13443
31/01/2017,0.13447
02/02/2017,0.13444
03/02/2017,0.13444
06/02/2017,0.13447
09/02/2017,0.13451
13/02/2017,0.13447
15/02/2017,0.1345
16/02/2017,0.13451
20/02/2017,0.13452
24/02/2017,0.13449
02/03/2017,0.13451
03/03/2017,0.13449
06/03/2017,0.13451
07/03/2017,0.13452
13/03/2017,0.1345
24/03/2017,0.13443
30/03/2017,0.13442
