date,gross,person,shared,sas,description,cat,account,exclude_from_budget,sav_account_only,tag,area,comments
09/11/2014,652.5332352,s,,,Salary 3,Salary,,,,,,
09/11/2014,202.112064,s,,,Salary 3,Salary,,,,,,
10/11/2014,-67.330,s,,,Fee Genius,Subscriptions,,,,,,
24/11/2014,-546.900,s,,,Cloath/beauty store 60,Cloathing&Beauty,,,,,,
16/12/2014,831.5467776,s,,,Salary 4,Salary,,,,,,
05/01/2015,542.8152576,s,,,Salary 4,Salary,,,,,,
23/02/2015,866.19456,s,,,Salary 4,Salary,,,,,,
13/04/2015,2009.571379,s,,,Salary 4,Salary,,,,,,
14/04/2015,831.5467776,s,,,Salary 3,Salary,,,,,,
16/04/2015,-181.810,s,,,Torvehallerne market,Groceries,,,,,,
06/05/2015,-21.870,s,,,Fees,Subscriptions,,,,,,
06/05/2015,-188.650,s,,,Cloath/beauty store 471,Cloathing&Beauty,,,,,,
08/05/2015,2979.709286,s,,,Salary 4,Salary,,,,,,
21/05/2015,-114.130,s,,,Unes,Groceries,,,,,,
22/05/2015,-36.270,s,,,Unes,Groceries,,,,,,
27/05/2015,-118.620,s,,,Unes,Groceries,,,,,,
04/06/2015,1547.600947,s,,,Salary 4,Salary,,,,,,
08/06/2015,-123.190,s,,,Unes,Groceries,,,,,,
08/06/2015,-449.850,s,,,Cloath/beauty store 164,Cloathing&Beauty,,,,,,
09/06/2015,1870.98025,s,,,Salary 4,Salary,,,,,,
10/06/2015,-52.080,s,,,Carrefour,Groceries,,,,,,
22/06/2015,-123.170,s,,,Iperdì,Groceries,,,,,,
25/06/2015,311.8300416,s,,,Salary 4,Salary,,,,,,
29/06/2015,-15.470,s,,,Cloath/beauty store 315,Cloathing&Beauty,,,,,,
30/06/2015,-269.910,s,,,Cloath/beauty store 84,Cloathing&Beauty,,,,,,
30/06/2015,-272.110,s,,,Iperdì,Groceries,,,,,,
13/07/2015,-8.570,s,,,Café/restaurant 282,Café&restaurant,,,,,,
17/07/2015,-77.510,s,,,Cloath/beauty store 331,Cloathing&Beauty,,,,,,
21/07/2015,48933.75231,s,,,Salary 3,Salary,,,,,,
22/07/2015,-47.240,s,,,Iperdì,Groceries,,,,,,
22/07/2015,-95.230,s,,,Total ERG,Car,,,,,,
23/07/2015,-1026.270,s,,,Cloath/beauty store 14,Cloathing&Beauty,,,,,,
24/07/2015,-14.680,s,,,Unes,Groceries,,,,,,
24/07/2015,-985.650,s,,,Trenitalia,Transportation,,,,,,
27/07/2015,-64.490,s,,,Unes,Groceries,,,,,,
30/07/2015,-38.640,s,,,Farmacia,Health,,,,,,
11/08/2015,-30.130,s,,,Cloath/beauty store 469,Cloathing&Beauty,,,,,,
20/08/2015,-1371.770,s,,,Cloath/beauty store 287,Cloathing&Beauty,,,,,,
21/08/2015,-31.920,s,,,Cloath/beauty store 97,Cloathing&Beauty,,,,,,
21/08/2015,-1376.510,s,,,Cloath/beauty store 325,Cloathing&Beauty,,,,,,
24/08/2015,-65.100,s,,,Cloath/beauty store 317,Cloathing&Beauty,,,,,,
24/08/2015,-138.530,s,,,Cloath/beauty store 379,Cloathing&Beauty,,,,,,
24/08/2015,-292.090,s,,,Cloath/beauty store 411,Cloathing&Beauty,,,,,,
28/08/2015,-131.920,s,,,Cloath/beauty store 67,Cloathing&Beauty,,,,,,
01/09/2015,-37.620,s,,,Expedia,Flights,,,,,,
01/09/2015,-175.040,s,,,Ryanair,Flights,,,,,,
07/09/2015,-884.730,s,,,Cloath/beauty store 253,Cloathing&Beauty,,,,,,
11/09/2015,-296.860,s,,,Wind,Subscriptions,,,,,,
21/09/2015,-147.280,s,,,Iperdì,Groceries,,,,,,
21/09/2015,-230.640,s,,,Wind,Subscriptions,,,,,,
22/09/2015,-61.640,s,,,Fotex,Groceries,,,,,,
24/09/2015,-89.730,s,,,Trenitalia,Transportation,,,,,,
28/09/2015,-155.550,s,,,Iperdì,Groceries,,,,,,
30/09/2015,-99.770,s,,,Trenitalia,Transportation,,,,,,
30/09/2015,-141.540,s,,,Farmacia,Health,,,,,,
